EET-2EEST,M3.5.0,M10.5.0/3;Europe/Minsk;Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius
CET-1CEST,M3.5.0,M10.5.0/3;Europe/Monaco;Paris
EET-2EEST,M3.5.0/3,M10.5.0/4;Europe/Nicosia;Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius
CET-1CEST,M3.5.0,M10.5.0/3;Europe/Oslo;Paris
CET-1CEST,M3.5.0,M10.5.0/3;Europe/Podgorica;Paris
CET-1CEST,M3.5.0,M10.5.0/3;Europe/Prague;Paris
EET-2EEST,M3.5.0/3,M10.5.0/4;Europe/Riga;Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius
CET-1CEST,M3.5.0,M10.5.0/3;Europe/Rome;Amsterdam, Bern, Rome, Stockholm
SAMT-4;Europe/Samara;Moscow, St. Petersburg, Volgograd
CET-1CEST,M3.5.0,M10.5.0/3;Europe/San_Marino;Paris
EET-2EEST,M3.5.0/3,M10.5.0/4;Europe/Simferopol;Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius
CET-1CEST,M3.5.0,M10.5.0/3;Europe/Skopje;Paris
EET-2EEST,M3.5.0/3,M10.5.0/4;Europe/Sofia;Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius
CET-1CEST,M3.5.0,M10.5.0/3;Europe/Stockholm;Paris
EET-2EEST,M3.5.0/3,M10.5.0/4;Europe/Tallinn;Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius
CET-1CEST,M3.5.0,M10.5.0/3;Europe/Tirane;Paris
EET-2EEST,M3.5.0/3,M10.5.0/4;Europe/Tiraspol;Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius
EET-2EEST,M3.5.0/3,M10.5.0/4;Europe/Uzhgorod;Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius
CET-1CEST,M3.5.0,M10.5.0/3;Europe/Vaduz;Paris
CET-1CEST,M3.5.0,M10.5.0/3;Europe/Vatican;Paris
CET-1CEST,M3.5.0,M10.5.0/3;Europe/Vienna;Paris
EET-2EEST,M3.5.0/3,M10.5.0/4;Europe/Vilnius;Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius
VOLT-4;Europe/Volgograd;Moscow, St. Petersburg, Volgograd
CET-1CEST,M3.5.0,M10.5.0/3;Europe/Warsaw;Paris
CET-1CEST,M3.5.0,M10.5.0/3;Europe/Zagreb;Paris
EET-2EEST,M3.5.0/3,M10.5.0/4;Europe/Zaporozhye;Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius
CET-1CEST,M3.5.0,M10.5.0/3;Europe/Zurich;Paris
EAT-3;Indian/Antananarivo;Nairobi
IOT-6;Indian/Chagos;Ekaterinburg
CXT-7;Indian/Christmas;Bangkok, Hanoi, Jakarta
CCT-6:30;Indian/Cocos;Ekaterinburg
EAT-3;Indian/Comoro;Nairobi
TFT-5;Indian/Kerguelen;Islamabad, Karachi, Tashkent
SCT-4;Indian/Mahe;Baku, Tbilisi, Yerevan
MVT-5;Indian/Maldives;Islamabad, Karachi, Tashkent
MUT-4;Pacific/Apia;Baku, Tbilisi, Yerevan
RET-4;Indian/Reunion;Reunion, Yerevan
PST8PDT,M3.2.0,M11.1.0;Mexico/BajaNorte;Pacific Time (US/Canada), Tijuana
MST7MDT,M4.1.0,M10.5.0;Mexico/BajaSur;Chihuahua, Mazatlan
CST6CDT,M4.1.0,M10.5.0;Mexico/General;Guadalajara, Mexico City, Monterrey
WST-13;Pacific/Apia;Fiji, Kamchatka, Marshall Is.
CHAST-12:45CHADT,M9.5.0/2:45,M4.1.0/3:45;Pacific/Chatham;International Date Line West
CHUT-10;Pacific/Chuuk;Brisbane
EAST+6;Pacific/Easter;Saskatchewan
PHOT-13;Pacific/Enderbury;Fiji, Kamchatka, Marshall Is.
TKT10;Pacific/Fakaofo;Hawaii
TVT-12;Pacific/Funafuti;International Date Line West
GALT6;Pacific/Galapagos;Saskatchewan
GAMT9;Pacific/Gambier;Alaska
SBT-11;Pacific/Guadalcanal;Magadan, Solomon Is., New Caledonia
HST10;Pacific/Honolulu;Hawaii
HST10;Pacific/Johnston;Hawaii
LINT-14;Pacific/Kiritimati;Fiji, Kamchatka, Marshall Is.
KOST-11;Pacific/Kosrae;Magadan, Solomon Is., New Caledonia
MHT-12;Pacific/Kwajalein;International Date Line West
MHT-12;Pacific/Majuro;International Date Line West
MART9:30;Pacific/Marquesas;Alaska
SST11;Pacific/Midway;Midway Island, Samoa
NRT-12;Pacific/Nauru;International Date Line West
NUT11;Pacific/Niue;Midway Island, Samoa
NFT-11:30;Pacific/Norfolk;Magadan, Solomon Is., New Caledonia
NCT-11;Pacific/Noumea;Magadan, Solomon Is., New Caledonia
SST11;Pacific/Pago_Pago;Midway Island, Samoa
PWT-9;Pacific/Palau;Osaka, Sapporo, Tokyo
PST8;Pacific/Pitcairn;Pacific Time (US/Canada), Tijuana
PONT-11;Pacific/Pohnpei;Magadan, Solomon Is., New Caledonia
PONT-11;Pacific/Ponape;Magadan, Solomon Is., New Caledonia
PGT-10;Pacific/Port_Moresby;Brisbane
CKT10;Pacific/Rarotonga;Hawaii
ChST-10;Pacific/Saipan;Guam, Port Moresby
SST11;Pacific/Samoa;Midway Island, Samoa
TAHT10;Pacific/Tahiti;Hawaii
GILT-12;Pacific/Tarawa;International Date Line West
TOT-13;Pacific/Tongatapu;Fiji, Kamchatka, Marshall Is.
CHUT-10;Pacific/Truk;Brisbane
WAKT-12;Pacific/Wake;International Date Line West
WFT-12;Pacific/Wallis;International Date Line West
CHUT-10;Pacific/Yap;Brisbane
HAST10HADT,M3.2.0,M11.1.0;US/Aleutian;Hawaii
CST6CDT,M3.2.0,M11.1.0;US/Indiana-Starke;Central America
EST5EDT,M3.2.0,M11.1.0;US/Michigan;Eastern Time (US/Canada)
PST8PDT,M3.2.0,M11.1.0;US/Pacific-New;Pacific Time (US/Canada), Tijuana
